assessment cdm type,Type,map category,csv key,Korean_Context,English_Context,semantic_allowed,Format/Range,0,1,2,3,4,5,6,7,8,9,10,11
PSG,B,psg,RDI_idx,,RESPIRATORY DISTURBANCE INDEX (RDI) Index(/hr),0,,,,,,,,,,,,,
PSG,B,psg,Lowest_SpO2,,Lowest SaO2(%),0,,,,,,,,,,,,,
PSG,B,psg,REM_sup_min,,Time for REM sleep with Supine ('Sup') Position (min),0,,,,,,,,,,,,,
PSG,B,psg,REM_lat_min,,Time for REM sleep with Lateral ('Lat') Position (min),0,,,,,,,,,,,,,
PSG,B,psg,NREM_sup_min,,Time for NREM sleep with Supine ('Sup') Position (min),0,,,,,,,,,,,,,
PSG,B,psg,NREM_lat_min,,Time for NREM sleep with Lateral ('Lat') Position (min),0,,,,,,,,,,,,,
PSG,B,psg,AHI_sup_REM,,AHI during REM sleep with Supine ('Sup') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_lat_REM,,AHI during REM sleep with Lateral ('Lat') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_sup_N1,,AHI during N1 sleep with Supine ('Sup') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_lat_N1,,AHI during N1 sleep with Lateral ('Lat') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_sup_N2,,AHI during N2 sleep with Supine ('Sup') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_lat_N2,,AHI during N2 sleep with Lateral ('Lat') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_sup_N3,,AHI during N3 sleep with Supine ('Sup') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_lat_N3,,AHI during N3 sleep with Lateral ('Lat') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_sup_NREM,,AHI during NREM sleep with Supine ('Sup') Position,0,,,,,,,,,,,,,
PSG,B,psg,AHI_lat_NREM,,AHI during NREM sleep with Lateral ('Lat') Position,0,,,,,,,,,,,,,
PSG,B,psg,PLM_idx,,Total PLMS index (/hr),0,,,,,,,,,,,,,
PSG,B,psg,LM_idx,,Total LM index (/hr),0,,,,,,,,,,,,,
PSG,B,psg,Arousal_PLM_no,,PLM arousal,0,,,,,,,,,,,,,
PSG,B,psg,Arousal_PLM_idx_re,,PLM aousal index (/hr),0,,,,,,,,,,,,,
PSG,B,psg,Arousal_LM_no,,LM arousal,0,,,,,,,,,,,,,
PSG,B,psg,Arousal_LM_idx,,LM arousal index (/hr),0,,,,,,,,,,,,,
CPAP,B,psg,Pressure_05,,Pressure(cmH2O),0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_time_min,,Pressure Applied Time (min),0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_position,,Position,0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_stage,,Sleep Stage,0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_AHI,,AHI (/hr),0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_snoring,,Snoring,0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_lowest_SpO2,,Lowest SaO2,0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_PLM_idx,,PLM Index (/hr),0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_arousal_PLM_idx,,PLM arousal Index (/hr),0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_arousal_resp_idx,,Arousal Index Respiratory,0,,,,,,,,,,,,,
CPAP,B,psg,Pr05_arousal_spont_idx,,Arousal Index Spontaneous,0,,,,,,,,,,,,,
CPAP,B,psg,Pressure_06,,Pressure(cmH2O),0,,,,,,,,,,,,,
CPAP,B,psg,Pr06_time_min,,Time (min),0,,,,,,,,,,,,,
